HOTEL_CUSTOMER_ID,FOL_ACT_ARR_DATE,FOL_ACT_DEP_DATE,Arrival Month,Departure Month,Duration,DEBIT_TTL,ROOMDEBIT,OTHERDEBIT,FNBDEBIT,ENTERTNDEBIT,RETLDEBIT,CREDIT_TTL,ROOMCREDIT,OTHERCREDIT,FNBCREDIT,ENTERTNCREDIT,RETLCREDIT,TOTAL_CHARGES
53,10-Apr-2003,11-Apr-2003,Apr,Apr,1.00,7.5,0,0,7.5,0,0,0,0,0,0,0,0,7.5
53,12-Jan-2003,14-Jan-2003,Jan,Jan,2.00,30.5,0,0,29,0,1.5,0,0,0,0,0,0,30.5
53,26-Sep-2002,27-Sep-2002,Sep,Sep,1.00,27,0,0,27,0,0,0,0,0,0,0,0,27
53,30-Oct-2002,1-Nov-2002,Oct,Nov,2.00,27.89,0,7,20.89,0,0,0,0,0,0,0,0,27.89
54,10-Jan-2002,11-Jan-2002,Jan,Jan,1.00,141.64,130.74,10.9,0,0,0,0,0,0,0,0,0,141.64
55,18-Mar-2002,20-Mar-2002,Mar,Mar,2.00,987.89,8.99,424,554.9,0,0,0,0,0,0,0,0,987.89
56,1-Feb-2002,4-Feb-2002,Feb,Feb,3.00,212.46,195.93,16.53,0,0,0,0,0,0,0,0,0,212.46
56,30-May-2003,2-Jun-2003,May,Jun,3.00,294.3,294.3,0,0,0,0,0,0,0,0,0,0,294.3
57,18-Oct-2002,20-Oct-2002,Oct,Oct,2.00,327.88,217.88,0,0,110,0,0,0,0,0,0,0,327.88
57,25-Apr-2002,26-Apr-2002,Apr,Apr,1.00,27.39,0,0,27.39,0,0,0,0,0,0,0,0,27.39
58,4-Sep-2003,8-Sep-2003,Sep,Sep,4.00,93.29,0,93.29,0,0,0,0,0,0,0,0,0,93.29
58,6-Nov-2004,9-Nov-2004,Nov,Nov,3.00,22.24,0,20.24,2,0,0,0,0,0,0,0,0,22.24
58,8-Jul-2004,14-Jul-2004,Jul,Jul,6.00,144.2,0,93.57,50.63,0,0,0,0,0,0,0,0,144.2
58,8-Mar-2003,12-Mar-2003,Mar,Mar,4.00,69,0,69,0,0,0,0,0,0,0,0,0,69
58,9-Sep-2004,13-Sep-2004,Sep,Sep,4.00,36,0,1,35,0,0,0,0,0,0,0,0,36
58,10-Jul-2004,11-Jul-2004,Jul,Jul,1.00,19,0,0,19,0,0,0,0,0,0,0,0,19
